b_scan_name,hd_g1_g2,hd_g1_g3,hd_g2_g3,hd_g1_cnn,hd_g2_cnn,hd_g3_cnn
Eye6_20,0.0172,0.0334,0.0191,0.0108,0.0159,0.0320
Eye6_21,0.0171,0.0250,0.0117,0.0136,0.0218,0.0274
Eye6_22,0.0239,0.0346,0.0149,0.0170,0.0285,0.0414
Eye6_23,0.0241,0.0161,0.0110,0.0118,0.0298,0.0216
Eye6_24,0.0141,0.0174,0.0164,0.0212,0.0178,0.0246
Eye6_25,0.0159,0.0319,0.0174,0.0179,0.0195,0.0310
Eye6_3,0.0211,0.0349,0.0162,0.0138,0.0202,0.0322
Eye6_4,0.0173,0.0243,0.0100,0.0107,0.0218,0.0257
Eye6_5,0.0146,0.0248,0.0262,0.0126,0.0099,0.0221
Eye6_6,0.0217,0.0286,0.0112,0.0166,0.0135,0.0219
Eye6_7,0.0124,0.0341,0.0267,0.0140,0.0061,0.0248
Eye6_8,0.0397,0.0367,0.0066,0.0196,0.0268,0.0223
Eye6_9,0.0092,0.0325,0.0271,0.0171,0.0111,0.0195
Eye7_1,0.0134,0.0293,0.0203,0.0142,0.0097,0.0224
Eye7_10,0.0117,0.0361,0.0259,0.0188,0.0109,0.0191
Eye7_11,0.0107,0.0262,0.0179,0.0113,0.0075,0.0216
Eye7_12,0.0190,0.0204,0.0072,0.0143,0.0143,0.0134
Eye7_13,0.0241,0.0234,0.0097,0.0127,0.0187,0.0164
Eye7_14,0.0128,0.0170,0.0091,0.0135,0.0189,0.0197
Eye7_15,0.0158,0.0301,0.0173,0.0110,0.0145,0.0256
Eye7_16,0.0155,0.0219,0.0275,0.0156,0.0131,0.0211
Eye7_17,0.0225,0.0377,0.0204,0.0110,0.0171,0.0293
Eye7_18,0.0093,0.0252,0.0212,0.0092,0.0092,0.0210
Eye7_19,0.0234,0.0299,0.0087,0.0120,0.0184,0.0234
Eye7_2,0.0101,0.0153,0.0112,0.0121,0.0114,0.0137
Eye7_20,0.0102,0.0117,0.0130,0.0139,0.0119,0.0151
Eye7_21,0.0095,0.0166,0.0145,0.0102,0.0115,0.0167
Eye7_22,0.0154,0.0334,0.0247,0.0189,0.0124,0.0160
Eye7_23,0.0169,0.0131,0.0097,0.0182,0.0099,0.0119
Eye7_24,0.0215,0.0139,0.0141,0.0145,0.0247,0.0130
Eye7_25,0.0089,0.0096,0.0117,0.0184,0.0207,0.0128
Eye7_3,0.0190,0.0217,0.0072,0.0125,0.0156,0.0161
Eye7_4,0.0234,0.0145,0.0129,0.0138,0.0236,0.0133
